Time (UTC),Open,High,Low,Close,Volume 
2003.12.05 09:38:00,1.20712,1.20719,1.20675,1.20688,658.9
2003.12.05 09:39:00,1.20685,1.2072100000000001,1.2068299999999998,1.2071,517.2
2003.12.05 09:40:00,1.20705,1.2072100000000001,1.20685,1.2069299999999998,752.4
2003.12.05 09:41:00,1.20712,1.20717,1.20679,1.20682,711.0
2003.12.05 09:42:00,1.20712,1.20712,1.20659,1.2067,652.8
2003.12.05 09:43:00,1.20662,1.2067,1.20633,1.20633,463.2
2003.12.05 09:44:00,1.20675,1.20688,1.20607,1.20607,528.1
2003.12.05 09:45:00,1.20601,1.20656,1.20601,1.20656,326.8
2003.12.05 09:46:00,1.20626,1.2064,1.2061600000000001,1.2064,316.3
2003.12.05 09:47:00,1.20618,1.20654,1.20617,1.2064700000000002,314.8
2003.12.05 09:48:00,1.2065700000000001,1.20671,1.20633,1.20633,680.6
2003.12.05 09:49:00,1.20645,1.20676,1.20634,1.20666,367.2
2003.12.05 09:50:00,1.20648,1.20671,1.20644,1.20649,463.2
2003.12.05 09:51:00,1.20662,1.2067,1.20643,1.2065700000000001,426.6
2003.12.05 09:52:00,1.20666,1.20702,1.2066,1.20678,686.7
2003.12.05 09:53:00,1.2069299999999998,1.2069299999999998,1.20669,1.2067299999999999,275.5
2003.12.05 09:54:00,1.2066700000000001,1.2069299999999998,1.2066700000000001,1.20675,370.8
2003.12.05 09:55:00,1.2069,1.20698,1.20664,1.20664,371.3
2003.12.05 09:56:00,1.20666,1.20676,1.20645,1.20648,490.8
2003.12.05 09:57:00,1.20695,1.207,1.20659,1.20659,553.0
2003.12.05 09:58:00,1.2066700000000001,1.20676,1.20645,1.20652,676.8
2003.12.05 09:59:00,1.2066,1.2066299999999999,1.2061,1.20611,714.5
2003.12.05 10:00:00,1.20623,1.20636,1.20601,1.2061600000000001,419.4
2003.12.05 10:01:00,1.20615,1.20636,1.20603,1.2061899999999999,544.1
2003.12.05 10:02:00,1.20613,1.20649,1.20603,1.2062700000000002,496.3
2003.12.05 10:03:00,1.20635,1.20669,1.20623,1.2065,338.0
2003.12.05 10:04:00,1.20622,1.20665,1.2060899999999999,1.20655,712.4
2003.12.05 10:05:00,1.20642,1.2067299999999999,1.20632,1.20659,616.0
2003.12.05 10:06:00,1.2063,1.2065299999999999,1.20625,1.20628,746.2
2003.12.05 10:07:00,1.20635,1.2064700000000002,1.2062,1.20634,535.6
2003.12.05 10:08:00,1.20665,1.20672,1.20618,1.2065299999999999,552.4
2003.12.05 10:09:00,1.20668,1.20678,1.20655,1.20671,439.5
2003.12.05 10:10:00,1.2066299999999999,1.207,1.20662,1.2069299999999998,580.8
2003.12.05 10:11:00,1.20672,1.20682,1.2064700000000002,1.2066,432.7
2003.12.05 10:12:00,1.20651,1.20689,1.2065,1.20689,384.1
2003.12.05 10:13:00,1.20692,1.20697,1.2065299999999999,1.2065299999999999,339.0
2003.12.05 10:14:00,1.20633,1.20661,1.20624,1.2063700000000002,628.8
2003.12.05 10:15:00,1.20634,1.20634,1.20604,1.20624,447.7
2003.12.05 10:16:00,1.2063,1.20641,1.20623,1.2063,402.8
2003.12.05 10:17:00,1.2065,1.20661,1.20649,1.20656,310.8
2003.12.05 10:18:00,1.20642,1.20666,1.20633,1.20633,624.9
2003.12.05 10:19:00,1.2063,1.2065299999999999,1.2063,1.20645,454.8
2003.12.05 10:20:00,1.20635,1.20661,1.20635,1.20661,336.7
2003.12.05 10:21:00,1.20675,1.207,1.20668,1.20696,426.5
